,ID,packing
0,40,6
1,47,7
2,4,1
3,49,6
4,3,7
5,22,7
6,25,7
7,13,7
8,48,7
9,2,7
10,5,0
11,46,6
12,41,7
13,15,6
14,12,7
15,24,0
16,23,2
17,39,7
18,30,6
19,37,6
20,36,7
21,31,6
22,38,7
23,26,7
24,19,1
25,21,6
26,17,6
27,28,2
28,10,7
29,44,5
30,9,6
31,43,6
32,7,2
33,11,7
34,16,7
35,29,7
36,20,2
37,27,6
38,18,7
39,6,7
40,1,0
41,8,7
42,42,2
43,45,2
44,34,7
45,33,6
46,50,7
47,32,6
48,35,5
