135,P21,68,Pca21,7,0.265
135,P21,6,P-1,3,0.192
135,P21,76,P21/a,3,0.028
135,P21,94,P212121,13,0.325
135,P21,95,P212121,13,0.324
135,P21,9,P21,5,0.389
13,P-1,108,C2/c,5,0.088
13,P-1,115,C2/n,5,0.145
13,P-1,11,P21/a,5,0.115
13,P-1,135,P21,3,0.167
13,P-1,13,P-1,15,0.0
13,P-1,141,P212121,3,0.104
13,P-1,16,P21/c,5,0.167
13,P-1,173,Pna21,3,0.272
13,P-1,176,P-1,2,1.045
13,P-1,177,P21/a,3,0.163
13,P-1,18,P21/n,5,0.208
13,P-1,195,Pc,3,0.151
13,P-1,19,P-1,11,0.065
13,P-1,1,P-1,5,0.093
13,P-1,20,P21/a,11,0.384
13,P-1,232,P21/c,3,0.054
13,P-1,24,P21/n,5,0.383
13,P-1,26,C2/c,11,0.045
13,P-1,27,P21/n,5,0.206
13,P-1,30,P21/c,9,0.256
13,P-1,32,P21/c,5,0.104
13,P-1,36,P212121,3,0.104
13,P-1,3,P212121,3,0.095
13,P-1,40,P21/c,5,0.184
13,P-1,44,P21/n,5,0.136
13,P-1,47,P21/c,9,0.415
13,P-1,55,P21/a,5,0.171
13,P-1,56,Pccn,2,0.682
13,P-1,5,P21/n,5,0.093
13,P-1,65,P212121,3,0.176
13,P-1,669,P6122,1,0.0
13,P-1,67,Pca21,3,0.195
13,P-1,68,Pca21,5,0.512
13,P-1,6,P-1,5,0.092
13,P-1,76,P21/a,3,0.179
13,P-1,94,P212121,3,0.085
13,P-1,95,P212121,3,0.085
13,P-1,9,P21,3,0.088
141,P212121,108,C2/c,3,0.131
141,P212121,115,C2/n,3,0.033
141,P212121,11,P21/a,3,0.062
141,P212121,135,P21,3,0.131
141,P212121,13,P-1,3,0.104
141,P212121,141,P212121,15,0.0
141,P212121,16,P21/c,5,0.207
141,P212121,173,Pna21,3,0.232
141,P212121,176,P-1,1,0.0
141,P212121,177,P21/a,3,0.137
141,P212121,18,P21/n,5,0.146
141,P212121,195,Pc,3,0.132
141,P212121,19,P-1,3,0.103
141,P212121,1,P-1,3,0.131
141,P212121,20,P21/a,3,0.09
141,P212121,232,P21/c,5,0.162
141,P212121,24,P21/n,5,0.19
141,P212121,26,C2/c,5,0.1
141,P212121,27,P21/n,7,0.118
141,P212121,30,P21/c,3,0.122
141,P212121,32,P21/c,5,0.137
141,P212121,36,P212121,5,0.116
141,P212121,3,P212121,7,0.141
141,P212121,40,P21/c,3,0.149
141,P212121,44,P21/n,3,0.061
141,P212121,47,P21/c,3,0.095
141,P212121,55,P21/a,3,0.098
141,P212121,56,Pccn,1,0.0
141,P212121,5,P21/n,3,0.13
141,P212121,65,P212121,5,0.184
141,P212121,669,P6122,1,0.0
141,P212121,67,Pca21,5,0.218
141,P212121,68,Pca21,3,0.143
141,P212121,6,P-1,3,0.13
141,P212121,76,P21/a,5,0.225
141,P212121,94,P212121,3,0.088
141,P212121,95,P212121,3,0.089
141,P212121,9,P21,7,0.121
16,P21/c,108,C2/c,3,0.117
16,P21/c,115,C2/n,3,0.056
16,P21/c,11,P21/a,5,0.564
16,P21/c,135,P21,3,0.108
16,P21/c,13,P-1,5,0.167
16,P21/c,141,P212121,5,0.207
16,P21/c,16,P21/c,15,0.0
16,P21/c,173,Pna21,3,0.213
16,P21/c,176,P-1,1,0.0
16,P21/c,177,P21/a,3,0.103
16,P21/c,18,P21/n,13,0.14
16,P21/c,195,Pc,3,0.092
16,P21/c,19,P-1,5,0.148
16,P21/c,1,P-1,3,0.09
16,P21/c,20,P21/a,5,0.268
16,P21/c,232,P21/c,7,0.144
16,P21/c,24,P21/n,9,0.203
16,P21/c,26,C2/c,7,0.217
16,P21/c,27,P21/n,5,0.173
16,P21/c,30,P21/c,5,0.312
16,P21/c,32,P21/c,5,0.123
16,P21/c,36,P212121,5,0.143
16,P21/c,3,P212121,7,0.161
16,P21/c,40,P21/c,3,0.162
16,P21/c,44,P21/n,3,0.106
16,P21/c,47,P21/c,3,0.056
16,P21/c,55,P21/a,3,0.091
16,P21/c,56,Pccn,2,0.665
16,P21/c,5,P21/n,3,0.089
16,P21/c,65,P212121,5,0.161
16,P21/c,669,P6122,1,0.0
16,P21/c,67,Pca21,5,0.223
16,P21/c,68,Pca21,3,0.107
16,P21/c,6,P-1,3,0.089
16,P21/c,76,P21/a,5,0.217
16,P21/c,94,P212121,3,0.035
16,P21/c,95,P212121,3,0.035
16,P21/c,9,P21,7,0.182
173,Pna21,108,C2/c,5,0.51
173,Pna21,115,C2/n,3,0.245
173,Pna21,11,P21/a,5,0.414
173,Pna21,135,P21,7,0.496
173,Pna21,13,P-1,3,0.272
173,Pna21,141,P212121,3,0.232
173,Pna21,16,P21/c,3,0.213
173,Pna21,173,Pna21,15,0.0
173,Pna21,176,P-1,1,0.0
173,Pna21,177,P21/a,7,0.326
173,Pna21,18,P21/n,3,0.203
173,Pna21,195,Pc,7,0.381
173,Pna21,19,P-1,3,0.28
173,Pna21,1,P-1,7,0.683
173,Pna21,20,P21/a,3,0.179
173,Pna21,232,P21/c,3,0.251
173,Pna21,24,P21/n,3,0.235
173,Pna21,26,C2/c,3,0.253
173,Pna21,27,P21/n,3,0.293
173,Pna21,30,P21/c,5,0.742
173,Pna21,32,P21/c,3,0.165
173,Pna21,36,P212121,3,0.182
173,Pna21,3,P212121,3,0.197
173,Pna21,40,P21/c,3,0.364
173,Pna21,44,P21/n,5,0.512
173,Pna21,47,P21/c,3,0.265
173,Pna21,55,P21/a,3,0.297
173,Pna21,56,Pccn,1,0.0
173,Pna21,5,P21/n,7,0.682
173,Pna21,65,P212121,3,0.102
173,Pna21,669,P6122,1,0.0
173,Pna21,67,Pca21,3,0.085
173,Pna21,68,Pca21,3,0.311
173,Pna21,6,P-1,7,0.683
173,Pna21,76,P21/a,3,0.097
173,Pna21,94,P212121,7,0.699
173,Pna21,95,P212121,7,0.698
173,Pna21,9,P21,3,0.198
176,P-1,108,C2/c,1,0.0
176,P-1,115,C2/n,3,0.658
176,P-1,11,P21/a,2,0.439
176,P-1,135,P21,3,0.068
176,P-1,13,P-1,2,1.045
176,P-1,141,P212121,1,0.0
176,P-1,16,P21/c,1,0.0
176,P-1,173,Pna21,1,0.0
176,P-1,176,P-1,15,0.0
176,P-1,177,P21/a,3,0.166
176,P-1,18,P21/n,1,0.0
176,P-1,195,Pc,3,0.169
176,P-1,19,P-1,1,0.0
176,P-1,1,P-1,1,0.0
176,P-1,20,P21/a,1,0.0
176,P-1,232,P21/c,1,0.0
176,P-1,24,P21/n,2,0.711
176,P-1,26,C2/c,1,0.0
176,P-1,27,P21/n,1,0.0
176,P-1,30,P21/c,1,0.0
